,answer,question
23,"Best Answer: Lawyers are only allowed to take money for work they have done. If the lawyer cannot account for time and expenses from the entire retainer amount, then the lawyer should return the unearned portion. Your son needs to get in contact with the lawyer though and see what's happening.",how do lawyers retainers work
24,"Some civil disobedience defendants choose to make a defiant speech, or a speech explaining their actions, in allocution. In U.S. v. Burgos-Andujar, a defendant who was involved in a movement to stop military exercises by trespassing on U.S. Navy property argued to the court in allocution that ""the ones who are violating the greater law are the members of the Navy"". As a result, the judge increased her sentence from 40 to 60 days. This action was upheld because, according to the U.S. Court of Appeals for the First Circuit, her statement suggested a lack of remorse, an attempt to avoid responsibility for her actions, and even a likelihood of repeating her illegal actions. Some of the other allocution speeches given by the protesters complained about mistreatment from government officials.",Why did the Navy give a speech in court?
25,"In 1747 Paradise Township was laid out under the authority of the Lancaster Court. The boundaries were surveyed by Joseph Pigeon, a Civil Engineer from Philadelphia for whom some claim the Pigeon Hill were named. In 1853 the eastern half of the Township was subdivided and became known as Jackson Township. Residents of the Township were involved in both the Revolutionary and Civil Wars.",is paradise township in adams county
26,"IF-Your passport was issued less than 1 year ago and your name has been legally changed due to marriage or court order. THEN-You must mail your. 1  Current, valid passport. 2  A completed Form DS-5504, Application for a U.S. Passport: Name Change, Data Correction, and Limited Passport Book Replacement.",can u renew your passport if your last name has changed
27,"If the husband was employed by an entity that did not pay into social security, then the wife is not due social security benefits. On-the-other-hand, if he worked and paid enough into social security to be eligible, then his wife is due one-half his benefit at her full-retirement age even if she has never worked.",can someone who never worked get social security
28,"To help reduce consumption, in 1974 a national maximum speed limit of 55 mph (about 88 km/h) was imposed through the Emergency Highway Energy Conservation Act. Development of the Strategic Petroleum Reserve began in 1975, and in 1977 the cabinet-level Department of Energy was created, followed by the National Energy Act of 1978.[citation needed] On November 28, 1995, Bill Clinton signed the National Highway Designation Act, ending the federal 55 mph (89 km/h) speed limit, allowing states to restore their prior maximum speed limit.",When was the cabinet-level Energy Department created?
29,"The 2017 Pakistan Super League spot-fixing scandal arose in February 2017 when the Pakistan Cricket Board (PCB) suspended cricketers under its anti-corruption code in an ongoing investigation backed by International Cricket Council (ICC)'s Anti-Corruption and Security Unit on spot-fixing during the 2017 Pakistan Super League. The six cricketers suspended by the PCB are: Sharjeel Khan (on 10 February), Khalid Latif (on 10 February), Nasir Jamshed (on 13 February), Mohammad Irfan (on 14 March), Shahzaib Hasan (on 17 March) and Mohammad Nawaz (16 May).

A right-handed opening batsman, Virgin had a mostly solid but unspectacular career in first-class cricket, except for two individual seasons, one for each of his two counties, during which he looked as good as any opening batsman in county cricket and was mentioned as a possible Test player.

Sir Leonard Hutton (23 June 1916 – 6 September 1990) was an English cricketer who played as an opening batsman for Yorkshire from 1934 to 1955 and for England in 79 Test matches between 1937 and 1955. ""Wisden Cricketers' Almanack"" described him as one of the greatest batsmen in the history of cricket. He set a record in 1938 for the highest individual innings in a Test match in only his sixth Test appearance, scoring 364 runs against Australia, a milestone that stood for nearly 20 years (and remains an England Test record). In 1952, he became the first professional cricketer of the 20th Century to captain England in Tests; under his captaincy England won the Ashes the following year for the first time in 19 years. Following the Second World War, he was the mainstay of England's batting, and the team depended greatly on his success.","What offence were opening batsman Khalid Latif and 5 other cricketers suspended for, in February 2017?"
30,Tips. 1  You may want to have an attorney review and make suggestions on a template of your business contract. 2  An attorney can pinpoint issues for your particular business that you may need to include in the agreement.,example of how to write a contract for service
31,"If your address changes, by law you have to update your driver's licence within 14 days. Save yourself from a potential fine and come in to any of our centres to make the change in person.",how long do i have to change address on driving licence
32,"The party, or parties, that hold the majority of seats in the Parliament forms the Scottish Government. In contrast to many other parliamentary systems, Parliament elects a First Minister from a number of candidates at the beginning of each parliamentary term (after a general election). Any member can put their name forward to be First Minister, and a vote is taken by all members of Parliament. Normally, the leader of the largest party is returned as First Minister, and head of the Scottish Government. Theoretically, Parliament also elects the Scottish Ministers who form the government of Scotland and sit in the Scottish cabinet, but such ministers are, in practice, appointed to their roles by the First Minister. Junior ministers, who do not attend cabinet, are also appointed to assist Scottish ministers in their departments. Most ministers and their juniors are drawn from amongst the elected MSPs, with the exception of Scotland's Chief Law Officers: the Lord Advocate and the Solicitor General. Whilst the First Minister chooses the ministers – and may decide to remove them at any time – the formal appointment or dismissal is made by the Sovereign.",Very few ministers are drawn from amongst whom?
33,"California Law on Preference: California Code of Civil Procedure section 36(a) allows any party who is 70 or older to seek trial preference. The court can grant the motion for preference request if it makes two findings: (1) The party seeking preference has a ""substantial interest"" in the case, and (2) the health of that party ""is such that a preference is necessary to prevent prejudicing the party's interest in the litigation.""",california procedure trial preference age
34,"also be used to block the selection of a Secretary-General. However, this is not counted as a veto of a Security Council Resolution, because the Security Council is only issuing a ""recommendation"" to the General Assembly. Since 1981, no Secretary-General has been formally vetoed, because the Security Council does not vote until they have already agreed on a Secretary-General in a series of straw polls. A vote by a permanent member to ""discourage"" a candidate is considered equivalent to a veto, and the candidate will withdraw from the race without forcing a formal veto. The formal recommendation of a Secretary-General is approved unanimously by acclamation.
Every permanent me",who has veto power in the national government
35,"The Maastricht Treaty (formally, the Treaty on European Union or TEU) undertaken to integrate Europe was signed on 7 February 1992 by the members of the European Community in Maastricht, Netherlands. On 9–10 December 1991, the same city hosted the European Council which drafted the treaty.",what year was the maastricht treaty
36,"What is the NCT? The NCT is a compulsory vehicle inspection programme in Ireland. The primary aim of this programme which falls under the directive 2009/40/EC, is to improve road safety and enhance environmental protection by reducing harmful vehicles emissions in Ireland.",what is ncts
37,"Best Answer: If the couple is married when the worker dies, the widow/er qualifies, regardless of how long they were married. If they divorce, they have to be married for 10 years for the widow/er to receive benefits. Rules are no different for common law marriages, but you must prove that you were actually married, which can be difficult with a common law marriage. Source(s): http://ssa-custhelp.ssa.gov/cgi-bin/ssa.... James · 7 years ago.",how many years do you have to be married to collect widows benefits
38,"The principle of cross-cutting relationships pertains to the formation of faults and the age of the sequences through which they cut. Faults are younger than the rocks they cut; accordingly, if a fault is found that penetrates some formations but not those on top of it, then the formations that were cut are older than the fault, and the ones that are not cut must be younger than the fault. Finding the key bed in these situations may help determine whether the fault is a normal fault or a thrust fault.","When rock formations are found on top of a fault that have not been cut, then they must be older or younger than the fault?"
39,"verb (used with object), stripped or stript, stripping. 1. to deprive of covering: to strip a fruit of its rind. 2. to deprive of clothing; make bare or naked. 3. to take away or remove:",definition of striping
40,"Abuse & Neglect Definition. Basically, child abuse is defined as when an individual acts or fails to prevent something that causes serious harm to a child under the age of 18. This harm can take many forms, such as serious physical injury, serious mental injury, or sexual abuse or exploitation. Pennsylvania's definition of child abuse has changed as a result of recent amendments to our Child Protective Services Law (CPSL).",imminent risk definition
41,"In 2006, a toxic waste spill off the coast of Côte d'Ivoire, from a European ship, prompted the Commission to look into legislation against toxic waste. Environment Commissioner Stavros Dimas stated that ""Such highly toxic waste should never have left the European Union"". With countries such as Spain not even having a crime against shipping toxic waste, Franco Frattini, the Justice, Freedom and Security Commissioner, proposed with Dimas to create criminal sentences for ""ecological crimes"". The competence for the Union to do this was contested in 2005 at the Court of Justice resulting in a victory for the Commission. That ruling set a precedent that the Commission, on a supranational basis, may legislate in criminal law – something never done before. So far, the only other proposal has been the draft intellectual property rights directive. Motions were tabled in the European Parliament against that legislation on the basis that criminal law should not be an EU competence, but was rejected at vote. However, in October 2007, the Court of Justice ruled that the Commission could not propose what the criminal sanctions could be, only that there must be some.",When did the Court of Justice deny that the Commission could only propose that there must some criminal sanctions?
42,"Contributory negligence refers to some amount of negligence on the part of the plaintiff, without which the incident would not have occurred. To explore this concept, consider the following contributory negligence definition.",contributory negligence define
43,The Intolerable Acts were the American Patriots ' term for a series of punitive laws passed by the British Parliament in 1774 after the Boston Tea party. They were meant to punish the Massachusetts colonists for their defiance in throwing a large tea shipment into Boston harbor.,when did the intolerable acts  happen
44,"Victoria has a written constitution enacted in 1975, but based on the 1855 colonial constitution, passed by the United Kingdom Parliament as the Victoria Constitution Act 1855, which establishes the Parliament as the state's law-making body for matters coming under state responsibility. The Victorian Constitution can be amended by the Parliament of Victoria, except for certain ""entrenched"" provisions that require either an absolute majority in both houses, a three-fifths majority in both houses, or the approval of the Victorian people in a referendum, depending on the provision.",What document formed the Parliament of Victoria?
45,"In 35 states, the minimum age requirement of the governor is 30, though in some it is 25 (7), 21 (1), or 18 (5). Oklahoma is the only state with an older age, 31. Some states require the governor to be a qualified elector/voter, implying a minimum age of 18.",how old must a person be to be elected governor?
46,"The ADEA requires the retention of the same records for one year for employers with twenty or more employees. Title VII and the ADA require that basic employee demographic data, pay rates, and weekly compensation records be retained for at least one year. :he FMLA requires the retention of certain records with respect to payroll and demographic information as well as information related to the individual employee's leave of absence for three years. : OSHA requires that records of job-related injuries and illnesses be kept for five years.",how long should you keep old employee records
47,"Quick Answer. A disposition date in court is the date a case is actually closed. Both civil and criminal court cases have disposition dates although courts use different terminology. Some courts use terms like ""closed,"" ""resolved"" or ""judgment"" instead of disposition date.",what is disposition on disp
48,"PERFECTION FOR CONSUMER GOODS. If the collateral is consumer goods, the creditor does not have to file a UCC-1 or take possession of the goods in order to perfect a purchase money security interest in the goods because this type of an interest is perfected as soon as it attaches (automatic perfection) .n most cases, perfection is lost if collateral is removed to another state unless a creditor files a financing statement in the new state within four months after removal. Regarding motor vehicles, perfection is lost if a new title is issued and the lien is not stated on the title.",what is perfection
49,"Following a lengthy legal battle with the European Commission, which deemed the exclusivity of the rights to be against the interests of competition and the consumer, BSkyB's monopoly came to an end from the 2007–08 season. In May 2006, the Irish broadcaster Setanta Sports was awarded two of the six Premier League packages that the English FA offered to broadcasters. Sky picked up the remaining four for £1.3bn. In February 2015, Sky bid £4.2bn for a package of 120 premier league games across the three seasons from 2016. This represented an increase of 70% on the previous contract and was said to be £1bn more than the company had expected to pay. The move has been followed by staff cuts, increased subscription prices (including 9% in Sky's family package) and the dropping of the 3D channel.",Who purhcased the remaining 4 pacakages available to broadcasters?
50,"European Union law is applied by the courts of member states and the Court of Justice of the European Union. Where the laws of member states provide for lesser rights European Union law can be enforced by the courts of member states. In case of European Union law which should have been transposed into the laws of member states, such as Directives, the European Commission can take proceedings against the member state under the Treaty on the Functioning of the European Union. The European Court of Justice is the highest court able to interpret European Union law. Supplementary sources of European Union law include case law by the Court of Justice, international law and general principles of European Union law.",What is the lowest court in the European Union?
51,"Logical Reasoning Questions. Arguments are a fundamental part of the law, and analyzing arguments is a key element of legal analysis. Training in the law builds on a foundation of basic reasoning skills. Law students must draw on the skills of analyzing, evaluating, constructing, and refuting arguments. They need to be able to identify what information is relevant to an issue or argument and what impact further evidence might have.",what is logic and reasoning
52,"You will also be a witness to your side of the case. Other useful witnesses are people who are familiar with your care of the children and, if possible, the other parent's care of the children. These people might be school teachers, child care workers or neighbors. Friends and relatives can also be good witnesses.",can a lawyer force the other side to show the evidence
53,"The economics of global warming concerns the economic aspects of global warming; this can inform policies that governments might consider in response. A number of factors make this a difficult problem from both economic and political perspectives: it is a long-term, intergenerational problem; benefits and costs are distributed unequally both within and across countries; and scientific and public opinions may diverge.

Hawaii Governor Linda Lingle has approved a number of energy-related bills to address climate change and promote local renewable energy production. The governor's energy bill-signing streak started in late April 2008 with the approval of House Bill 2502, which allows solar energy facilities to be located on less-productive agricultural lands, followed in late May by the approval of HB 3179, which makes it easier for biofuel producers to lease state lands. In the same time frame, the governor approved SB 2034, SB 3190, and HB 2168, which authorize special purpose revenue bonds to help finance a 2.7-megawatt wave energy facility off the coast of Maui, a solar energy facility on Oahu, and hydrogen generation and conversion facilities at the Natural Energy Laboratory of Hawaii Authority, located on the island of Hawaii.

Linda Lingle (""née"" Cutter; June 4, 1953) is an American politician, who was the sixth Governor of Hawaii from 2002 until 2010. She was the first Republican elected governor of Hawaii since the departure of William F. Quinn in 1962. Lingle was also the first female governor of Hawaii; first Jewish governor of Hawaii; first county mayor elected governor of Hawaii; and the first governor of Hawaii not to have any children. Prior to her gubernatorial administration, Lingle served as Maui County mayor, council member, and chair of the Hawaii Republican Party.",What political party was the 6th governor of Hawaii that passed bills to help with global warming in Hawaii?
54,Bills can be introduced to Parliament in a number of ways; the Scottish Government can introduce new laws or amendments to existing laws as a bill; a committee of the Parliament can present a bill in one of the areas under its remit; a member of the Scottish Parliament can introduce a bill as a private member; or a private bill can be submitted to Parliament by an outside proposer. Most draft laws are government bills introduced by ministers in the governing party. Bills pass through Parliament in a number of stages:,Who can introduce a bill as a public member?
55,"On August 15, 1971, the United States unilaterally pulled out of the Bretton Woods Accord. The US abandoned the Gold Exchange Standard whereby the value of the dollar had been pegged to the price of gold and all other currencies were pegged to the dollar, whose value was left to ""float"" (rise and fall according to market demand). Shortly thereafter, Britain followed, floating the pound sterling. The other industrialized nations followed suit with their respective currencies. Anticipating that currency values would fluctuate unpredictably for a time, the industrialized nations increased their reserves (by expanding their money supplies) in amounts far greater than before. The result was a depreciation of the dollar and other industrialized nations' currencies. Because oil was priced in dollars, oil producers' real income decreased. In September 1971, OPEC issued a joint communiqué stating that, from then on, they would price oil in terms of a fixed amount of gold.",When did the United States withdraw from the Bretton Woods Accord?
56,"The primary law of the EU consists mainly of the founding treaties, the ""core"" treaties being the Treaty on European Union (TEU) and the Treaty on the Functioning of the European Union (TFEU). The Treaties contain formal and substantive provisions, which frame policies of the European Union institutions and determine the division of competences between the European Union and its member states. The TEU establishes that European Union law applies to the metropolitan territories of the member states, as well as certain islands and overseas territories, including Madeira, the Canary Islands and the French overseas departments. European Union law also applies in territories where a member state is responsible for external relations, for example Gibraltar and the Åland islands. The TEU allows the European Council to make specific provisions for regions, as for example done for customs matters in Gibraltar and Saint-Pierre-et-Miquelon. The TEU specifically excludes certain regions, for example the Faroe Islands, from the jurisdiction of European Union law. Treaties apply as soon as they enter into force, unless stated otherwise, and are generally concluded for an unlimited period. The TEU provides that commitments entered into by the member states between themselves before the treaty was signed no longer apply.[vague] All EU member states are regarded as subject to the general obligation of the principle of cooperation, as stated in the TEU, whereby member states are obliged not to take measure which could jeopardise the attainment of the TEU objectives. The Court of Justice of the European Union can interpret the Treaties, but it cannot rule on their validity, which is subject to international law. Individuals may rely on primary law in the Court of Justice of the European Union if the Treaty provisions have a direct effect and they are sufficiently clear, precise and unconditional.",What powers does the Court of Justice of the European Union have in regards to treaties?
57,"Funding for private schools is generally provided through student tuition, endowments, scholarship/voucher funds, and donations and grants from religious organizations or private individuals. Government funding for religious schools is either subject to restrictions or possibly forbidden, according to the courts' interpretation of the Establishment Clause of the First Amendment or individual state Blaine Amendments. Non-religious private schools theoretically could qualify for such funding without hassle, preferring the advantages of independent control of their student admissions and course content instead of the public funding they could get with charter status.",Why would course content funding be restricted by the courts?
58,"Montpellier was among the most important of the 66 ""villes de sûreté"" that the Edict of 1598 granted to the Huguenots. The city's political institutions and the university were all handed over to the Huguenots. Tension with Paris led to a siege by the royal army in 1622. Peace terms called for the dismantling of the city's fortifications. A royal citadel was built and the university and consulate were taken over by the Catholic party. Even before the Edict of Alès (1629), Protestant rule was dead and the ville de sûreté was no more.[citation needed]",In what year did Protestant rule in Montpellier effectively collapse?
59,The Establishment Clause is a limitation placed upon the United States Congress preventing it from passing legislation respecting an establishment of religion. The second half of the Establishment Clause inherently prohibits the government from preferring any one religion over another.,what's the establishment clause
60,"The Congressional deadline to transition to digital broadcasts was pushed back several times. Congress passed the Telecommunications Act of 1996 with the original transition date of December 31, 2006. The transition to digital television was set back several more times after that. First to December 31, 2008, then to February 17, 2009, and then finally to June 12, 2009. All U.S. full-power analog TV broadcasts were required by law to end on June 12, 2009.",when was the dtv transition
61,"A Miller Trust is the legal means around that problem. Without one, any application for Medicaid nursing home financial assistance would be denied. Using a Qualified Income Trust is an effective solution to the problem of ""too much income"", but the solution is clumsy.",definition for millers trust
